,file_name,ppe_id,anchor,nao_recebidos_count,total_esperado,nao_recebidos_loss_percentage
123,CLB_C3P1_data.csv,ble-pd-B43A31EF7B45,5,175,181,3.314917127071823
124,CLB_C3P1_data.csv,ble-pd-B43A31EF7B45,6,174,181,3.867403314917127
125,CLB_C3P1_data.csv,ble-pd-B43A31EF7B45,7,174,181,3.867403314917127
126,CLB_C3P2_data.csv,ble-pd-B43A31EF7B45,1,181,181,0.0
127,CLB_C3P2_data.csv,ble-pd-B43A31EF7B45,2,181,181,0.0
128,CLB_C3P2_data.csv,ble-pd-B43A31EF7B45,3,175,181,3.314917127071823
129,CLB_C3P2_data.csv,ble-pd-B43A31EF7B45,4,181,181,0.0
130,CLB_C3P2_data.csv,ble-pd-B43A31EF7B45,5,148,181,18.23204419889503
131,CLB_C3P2_data.csv,ble-pd-B43A31EF7B45,6,147,181,18.784530386740332
132,CLB_C3P2_data.csv,ble-pd-B43A31EF7B45,7,151,181,16.574585635359114
133,CLB_C3P3_data.csv,ble-pd-B43A31EF7B45,1,179,181,1.1049723756906076
134,CLB_C3P3_data.csv,ble-pd-B43A31EF7B45,2,177,181,2.209944751381215
135,CLB_C3P3_data.csv,ble-pd-B43A31EF7B45,3,180,181,0.5524861878453038
136,CLB_C3P3_data.csv,ble-pd-B43A31EF7B45,4,179,181,1.1049723756906076
137,CLB_C3P3_data.csv,ble-pd-B43A31EF7B45,5,140,181,22.65193370165746
138,CLB_C3P3_data.csv,ble-pd-B43A31EF7B45,6,138,181,23.756906077348066
139,CLB_C3P3_data.csv,ble-pd-B43A31EF7B45,7,138,181,23.756906077348066
140,CLB_C3P4_data.csv,ble-pd-B43A31EF7B45,1,176,181,2.7624309392265194
141,CLB_C3P4_data.csv,ble-pd-B43A31EF7B45,2,177,181,2.209944751381215
142,CLB_C3P4_data.csv,ble-pd-B43A31EF7B45,3,180,181,0.5524861878453038
143,CLB_C3P4_data.csv,ble-pd-B43A31EF7B45,4,179,181,1.1049723756906076
144,CLB_C3P4_data.csv,ble-pd-B43A31EF7B45,5,148,181,18.23204419889503
145,CLB_C3P4_data.csv,ble-pd-B43A31EF7B45,6,150,181,17.12707182320442
146,CLB_C3P4_data.csv,ble-pd-B43A31EF7B45,7,151,181,16.574585635359114
147,CLB_C3P5_data.csv,ble-pd-B43A31EF7B45,1,177,181,2.209944751381215
148,CLB_C3P5_data.csv,ble-pd-B43A31EF7B45,2,166,181,8.287292817679557
149,CLB_C3P5_data.csv,ble-pd-B43A31EF7B45,3,181,181,0.0
150,CLB_C3P5_data.csv,ble-pd-B43A31EF7B45,4,172,181,4.972375690607735
151,CLB_C3P5_data.csv,ble-pd-B43A31EF7B45,5,173,181,4.41988950276243
152,CLB_C3P5_data.csv,ble-pd-B43A31EF7B45,6,172,181,4.972375690607735
153,CLB_C3P5_data.csv,ble-pd-B43A31EF7B45,7,171,181,5.524861878453039
154,CLB_C4P1_data.csv,ble-pd-B43A31EF7B45,1,176,181,2.7624309392265194
155,CLB_C4P1_data.csv,ble-pd-B43A31EF7B45,2,179,181,1.1049723756906076
156,CLB_C4P1_data.csv,ble-pd-B43A31EF7B45,3,179,181,1.1049723756906076
157,CLB_C4P1_data.csv,ble-pd-B43A31EF7B45,4,179,181,1.1049723756906076
158,CLB_C4P1_data.csv,ble-pd-B43A31EF7B45,5,125,181,30.939226519337016
159,CLB_C4P1_data.csv,ble-pd-B43A31EF7B45,6,135,181,25.41436464088398
160,CLB_C4P1_data.csv,ble-pd-B43A31EF7B45,7,135,181,25.41436464088398
161,CLB_C4P2_data.csv,ble-pd-B43A31EF7B45,1,179,181,1.1049723756906076
162,CLB_C4P2_data.csv,ble-pd-B43A31EF7B45,2,179,181,1.1049723756906076
163,CLB_C4P2_data.csv,ble-pd-B43A31EF7B45,3,170,181,6.077348066298343
164,CLB_C4P2_data.csv,ble-pd-B43A31EF7B45,4,180,181,0.5524861878453038
165,CLB_C4P2_data.csv,ble-pd-B43A31EF7B45,5,125,181,30.939226519337016
166,CLB_C4P2_data.csv,ble-pd-B43A31EF7B45,6,134,181,25.96685082872928
167,CLB_C4P2_data.csv,ble-pd-B43A31EF7B45,7,130,181,28.176795580110497
168,CLB_C4P3_data.csv,ble-pd-B43A31EF7B45,1,180,181,0.5524861878453038
169,CLB_C4P3_data.csv,ble-pd-B43A31EF7B45,2,175,181,3.314917127071823
170,CLB_C4P3_data.csv,ble-pd-B43A31EF7B45,3,171,181,5.524861878453039
171,CLB_C4P3_data.csv,ble-pd-B43A31EF7B45,4,178,181,1.6574585635359116
172,CLB_C4P3_data.csv,ble-pd-B43A31EF7B45,5,153,181,15.469613259668508
173,CLB_C4P3_data.csv,ble-pd-B43A31EF7B45,6,152,181,16.022099447513813
174,CLB_C4P3_data.csv,ble-pd-B43A31EF7B45,7,154,181,14.917127071823206
175,CLB_C4P4_data.csv,ble-pd-B43A31EF7B45,1,177,181,2.209944751381215
176,CLB_C4P4_data.csv,ble-pd-B43A31EF7B45,2,176,181,2.7624309392265194
177,CLB_C4P4_data.csv,ble-pd-B43A31EF7B45,3,177,181,2.209944751381215
178,CLB_C4P4_data.csv,ble-pd-B43A31EF7B45,4,181,181,0.0
179,CLB_C4P4_data.csv,ble-pd-B43A31EF7B45,5,156,181,13.812154696132598
180,CLB_C4P4_data.csv,ble-pd-B43A31EF7B45,6,156,181,13.812154696132598
181,CLB_C4P4_data.csv,ble-pd-B43A31EF7B45,7,154,181,14.917127071823206
182,CLB_C4P5_data.csv,ble-pd-B43A31EF7B45,1,180,181,0.5524861878453038
183,CLB_C4P5_data.csv,ble-pd-B43A31EF7B45,2,179,181,1.1049723756906076
184,CLB_C4P5_data.csv,ble-pd-B43A31EF7B45,3,181,181,0.0
185,CLB_C4P5_data.csv,ble-pd-B43A31EF7B45,4,180,181,0.5524861878453038
186,CLB_C4P5_data.csv,ble-pd-B43A31EF7B45,5,152,181,16.022099447513813
187,CLB_C4P5_data.csv,ble-pd-B43A31EF7B45,6,151,181,16.574585635359114
188,CLB_C4P5_data.csv,ble-pd-B43A31EF7B45,7,153,181,15.469613259668508
189,CLB_C4P6_data.csv,ble-pd-B43A31EF7B45,1,178,181,1.6574585635359116
190,CLB_C4P6_data.csv,ble-pd-B43A31EF7B45,2,178,181,1.6574585635359116
191,CLB_C4P6_data.csv,ble-pd-B43A31EF7B45,3,180,181,0.5524861878453038
192,CLB_C4P6_data.csv,ble-pd-B43A31EF7B45,4,178,181,1.6574585635359116
193,CLB_C4P6_data.csv,ble-pd-B43A31EF7B45,5,142,181,21.54696132596685
194,CLB_C4P6_data.csv,ble-pd-B43A31EF7B45,6,147,181,18.784530386740332
195,CLB_C4P6_data.csv,ble-pd-B43A31EF7B45,7,145,181,19.88950276243094
196,CLB_Oficina_data.csv,ble-pd-B43A31EF7B45,1,174,181,3.867403314917127
197,CLB_Oficina_data.csv,ble-pd-B43A31EF7B45,2,176,181,2.7624309392265194
198,CLB_Oficina_data.csv,ble-pd-B43A31EF7B45,3,175,181,3.314917127071823
199,CLB_Oficina_data.csv,ble-pd-B43A31EF7B45,4,175,181,3.314917127071823
200,CLB_Oficina_data.csv,ble-pd-B43A31EF7B45,5,141,181,22.099447513812155
201,CLB_Oficina_data.csv,ble-pd-B43A31EF7B45,6,137,181,24.30939226519337
202,CLB_Oficina_data.csv,ble-pd-B43A31EF7B45,7,142,181,21.54696132596685
203,CLB_PORTAdeENTRADA_data.csv,ble-pd-B43A31EF7B45,1,180,181,0.5524861878453038
204,CLB_PORTAdeENTRADA_data.csv,ble-pd-B43A31EF7B45,2,175,181,3.314917127071823
205,CLB_PORTAdeENTRADA_data.csv,ble-pd-B43A31EF7B45,3,181,181,0.0
